,CIK,Company Name,Form Type,Date Filed,File Name,File split,Landing page
23,100548,UGI UTILITIES INC,10-K,20181120,edgar/data/100548/0000100548-18-000021.txt,edgar/data/100548/0000100548-18-000021,https://www.sec.gov/Archives/edgar/data/100548/0000100548-18-000021-index.htm
67,1032220,MAXIMUS INC,10-K,20181120,edgar/data/1032220/0001032220-18-000090.txt,edgar/data/1032220/0001032220-18-000090,https://www.sec.gov/Archives/edgar/data/1032220/0001032220-18-000090-index.htm
108,104819,WASHINGTON GAS LIGHT CO,10-K,20181120,edgar/data/104819/0000104819-18-000012.txt,edgar/data/104819/0000104819-18-000012,https://www.sec.gov/Archives/edgar/data/104819/0000104819-18-000012-index.htm
252,1103601,WGL HOLDINGS INC,10-K,20181120,edgar/data/1103601/0001103601-18-000050.txt,edgar/data/1103601/0001103601-18-000050,https://www.sec.gov/Archives/edgar/data/1103601/0001103601-18-000050-index.htm
361,1124941,BEACON ROOFING SUPPLY INC,10-K,20181120,edgar/data/1124941/0001564590-18-029873.txt,edgar/data/1124941/0001564590-18-029873,https://www.sec.gov/Archives/edgar/data/1124941/0001564590-18-029873-index.htm
388,1140859,AMERISOURCEBERGEN CORP,10-K,20181120,edgar/data/1140859/0001140859-18-000053.txt,edgar/data/1140859/0001140859-18-000053,https://www.sec.gov/Archives/edgar/data/1140859/0001140859-18-000053-index.htm
1742,1586452,"LUBOA GROUP, INC.",10-K,20181120,edgar/data/1586452/0001213900-18-016287.txt,edgar/data/1586452/0001213900-18-016287,https://www.sec.gov/Archives/edgar/data/1586452/0001213900-18-016287-index.htm
2045,1663038,Reliant Service Inc,10-K,20181120,edgar/data/1663038/0001493152-18-016559.txt,edgar/data/1663038/0001493152-18-016559,https://www.sec.gov/Archives/edgar/data/1663038/0001493152-18-016559-index.htm
2752,2969,AIR PRODUCTS & CHEMICALS INC /DE/,10-K,20181120,edgar/data/2969/0000002969-18-000044.txt,edgar/data/2969/0000002969-18-000044,https://www.sec.gov/Archives/edgar/data/2969/0000002969-18-000044-index.htm
2811,356309,NEW JERSEY RESOURCES CORP,10-K,20181120,edgar/data/356309/0000356309-18-000139.txt,edgar/data/356309/0000356309-18-000139,https://www.sec.gov/Archives/edgar/data/356309/0000356309-18-000139-index.htm
2868,56978,KULICKE & SOFFA INDUSTRIES INC,10-K,20181120,edgar/data/56978/0000056978-18-000142.txt,edgar/data/56978/0000056978-18-000142,https://www.sec.gov/Archives/edgar/data/56978/0000056978-18-000142-index.htm
2892,63296,MATTHEWS INTERNATIONAL CORP,10-K,20181120,edgar/data/63296/0000063296-18-000124.txt,edgar/data/63296/0000063296-18-000124,https://www.sec.gov/Archives/edgar/data/63296/0000063296-18-000124-index.htm
3007,775158,OSHKOSH CORP,10-K,20181120,edgar/data/775158/0000775158-18-000147.txt,edgar/data/775158/0000775158-18-000147,https://www.sec.gov/Archives/edgar/data/775158/0000775158-18-000147-index.htm
3152,833444,Johnson Controls International plc,10-K,20181120,edgar/data/833444/0000833444-18-000053.txt,edgar/data/833444/0000833444-18-000053,https://www.sec.gov/Archives/edgar/data/833444/0000833444-18-000053-index.htm
3191,859737,HOLOGIC INC,10-K,20181120,edgar/data/859737/0000859737-18-000020.txt,edgar/data/859737/0000859737-18-000020,https://www.sec.gov/Archives/edgar/data/859737/0000859737-18-000020-index.htm
3229,884614,UGI CORP /PA/,10-K,20181120,edgar/data/884614/0000884614-18-000033.txt,edgar/data/884614/0000884614-18-000033,https://www.sec.gov/Archives/edgar/data/884614/0000884614-18-000033-index.htm
3386,932628,AMERIGAS PARTNERS LP,10-K,20181120,edgar/data/932628/0000932628-18-000022.txt,edgar/data/932628/0000932628-18-000022,https://www.sec.gov/Archives/edgar/data/932628/0000932628-18-000022-index.htm
3398,936528,WASHINGTON FEDERAL INC,10-K,20181120,edgar/data/936528/0000936528-18-000072.txt,edgar/data/936528/0000936528-18-000072,https://www.sec.gov/Archives/edgar/data/936528/0000936528-18-000072-index.htm
12,1001039,WALT DISNEY CO/,10-K,20181121,edgar/data/1001039/0001001039-18-000187.txt,edgar/data/1001039/0001001039-18-000187,https://www.sec.gov/Archives/edgar/data/1001039/0001001039-18-000187-index.htm
